file,formula,n_atoms,energy_eV,energy_per_atom_eV,pressure_input_GPa,pressure_output_GPa,stress_GPa,lattice_a,lattice_b,lattice_c,angle_alpha,angle_beta,angle_gamma,lattice_vectors,source_csv,volume_A3,H_tot_eV,H_per_atom_eV,Li_num,Li_frac,Cu_num,Cu_frac,H_num,H_frac,H_form_eV_per_atom,explicit_formula
sample_18.vasp,LiH,2,-6.033498,-3.0167489051818848,10,10.012078603108725,[ -9.998 -10.012 -10.026  -0.035   0.025   0.02 ],2.66265757951164,2.6626575795116394,2.662657579511639,90.0408805370671,119.97640041830462,119.97640041830462,"[[ 2.308195 -0.006138 -1.327382]
 [-1.534013  2.176343 -0.008902]
 [-0.003446  0.006138  2.662648]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/10_GPa/batch_14/summary_batch_14_10GPa.csv,13.353208384076224,-5.199049482071178,-2.599524741035589,1.0,0.5,0.0,0.0,1.0,0.5,-0.678237034599499,LiH
sample_9.vasp,LiH,2,-6.0334907,-3.0167453289031982,10,10.01289971669515,[-1.001e+01 -1.001e+01 -1.002e+01 -8.832e-03 -1.248e-02 -5.128e-03],2.6627200172711234,2.6627200172711225,2.6627200172711225,60.01212572253596,60.01212572253595,60.012125722535934,"[[2.310163e+00 5.038640e-03 1.324084e+00]
 [7.688548e-01 2.176913e+00 1.326646e+00]
 [7.825670e-03 2.413017e-03 2.662707e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/10_GPa/batch_81/summary_batch_81_10GPa.csv,13.353058430850709,-5.198983118448481,-2.5994915592242407,1.0,0.5,0.0,0.0,1.0,0.5,-0.6782038527881507,LiH
sample_20.vasp,LiH,2,-6.0334578,-3.01672887802124,10,10.013116836547852,[ -9.995  -9.902 -10.143   0.106   0.075   0.131],2.6611116396502266,2.6611116396502266,2.660025911029322,119.91468389929548,119.91468389929548,90.00826217771352,"[[ 2.307032e+00 -2.749156e-04 -1.326317e+00]
 [-7.638023e-01  2.175741e+00 -1.328260e+00]
 [-9.291163e-04  1.063859e-03  2.660026e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/10_GPa/batch_76/summary_batch_76_10GPa.csv,13.353109135211863,-5.198928954105931,-2.5994644770529653,1.0,0.5,0.0,0.0,1.0,0.5,-0.6781767706168753,LiH
sample_6.vasp,Li7CuH7,15,-45.269672,-3.0179781595865887,10,9.687440554300943,[-9.690e+00 -9.673e+00 -9.700e+00  1.129e-01 -1.003e-02  5.542e-03],2.662279345917681,4.573834119777137,9.074069403305952,79.31934325850446,90.01077169603272,73.07673366899385,"[[ 2.662276e+00  1.651607e-03  4.067357e-03]
 [ 1.327347e+00  4.279951e+00  9.165850e-01]
 [-1.547989e-02 -1.410263e-01  9.072960e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/10_GPa/batch_39/summary_batch_39_10GPa.csv,103.70476078649317,-38.99924068192594,-2.5999493787950625,7.0,0.4666666666666667,1.0,0.06666666666666667,7.0,0.4666666666666667,-0.6069922456842337,Li7CuH7
sample_12.vasp,Li4CuH3,8,-23.880089,-2.985011100769043,10,10.000479698181152,[-10.031 -10.006  -9.964  -0.013  -0.023  -0.022],2.590231275896022,2.5902312758960244,10.664823024824775,83.06417437746943,83.06417437746943,60.0405342640766,"[[2.571371e+00 3.933855e-03 3.119828e-01]
 [1.261802e+00 2.240572e+00 3.114348e-01]
 [3.340943e-03 4.569257e-03 1.066482e+01]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/10_GPa/batch_16/summary_batch_16_10GPa.csv,61.38654479815162,-20.048457873937245,-2.5060572342421557,4.0,0.5,1.0,0.125,3.0,0.375,-0.5794113607374209,Li4CuH3
sample_6.vasp,Li5CuH6,12,-36.967537,-3.0806280771891275,10,9.858050664265951,[ -9.817  -9.689 -10.068   0.305  -0.114   0.158],3.7706637575441047,5.298116975384111,4.549066318349261,105.73540980705526,114.46123331197674,89.97273393594762,"[[ 3.433345e+00 -7.194143e-03 -1.558844e+00]
 [-6.229383e-01  5.071265e+00 -1.401521e+00]
 [-3.435861e-03 -3.212203e-02  4.548952e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/10_GPa/batch_79/summary_batch_79_10GPa.csv,78.97029040878593,-32.1085643827362,-2.6757136985613497,5.0,0.4166666666666667,1.0,0.08333333333333333,6.0,0.5,-0.5788245368175087,Li5CuH6
sample_14.vasp,Li6CuH5,12,-35.399323,-2.9499435424804688,10,9.793154080708822,[-9.825 -9.899 -9.655 -0.199 -0.01  -0.019],2.6364169512267632,4.518508775770072,7.720565205175171,94.62713948186898,90.0125240386699,106.98829636750467,"[[ 2.636405e+00 -7.636175e-03  2.621394e-03]
 [-1.307453e+00  4.318025e+00 -2.492920e-01]
 [-9.967315e-03 -2.091954e-01  7.717724e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/10_GPa/batch_57/summary_batch_57_10GPa.csv,87.64532098886392,-30.042084341281253,-2.5035070284401044,6.0,0.5,1.0,0.08333333333333333,5.0,0.4166666666666667,-0.578647210624918,Li6CuH5
sample_9.vasp,Li5CuH6,12,-37.04544,-3.087120056152344,10,10.025318145751951,[-10.014  -9.991 -10.071   0.015   0.334  -0.024],2.6656941632167657,3.73493342015372,7.997812023040329,89.98449131279312,92.0350675841244,90.02613470968554,"[[ 2.664476e+00  1.038188e-04 -8.058497e-02]
 [-1.716159e-03  3.734930e+00  4.423613e-03]
 [-4.225713e-02 -7.326976e-03  7.997697e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/10_GPa/batch_44/summary_batch_44_10GPa.csv,79.5775004007941,-32.066027242791485,-2.6721689368992902,5.0,0.4166666666666667,1.0,0.08333333333333333,6.0,0.5,-0.5752797751554493,Li5CuH6
sample_18.vasp,Li7CuH7,15,-44.880245,-2.992016347249349,10,9.815513928731283,[-9.772e+00 -9.943e+00 -9.731e+00 -8.555e-03  1.118e-01 -1.955e-02],5.879076880263686,5.889065168936067,4.571426346479476,59.09454613715497,59.12849259169084,53.25214604787553,"[[ 5.048672e+00 -1.657391e-02  3.012338e+00]
 [ 2.316147e+00  4.494441e+00  3.019362e+00]
 [ 3.908506e-03  3.476956e-03  4.571423e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/10_GPa/batch_72/summary_batch_72_10GPa.csv,103.82360017622092,-38.519634545746655,-2.5679756363831103,7.0,0.4666666666666667,1.0,0.06666666666666667,7.0,0.4666666666666667,-0.5750185032722813,Li7CuH7
sample_3.vasp,Li5CuH6,12,-36.9456,-3.0787998835245767,10,9.928645451863607,[-10.008 -10.006  -9.772   0.34   -0.244   0.154],2.6618919715592275,4.544530357238209,7.078405457829095,96.05695060847384,78.07711618125778,74.4950159281155,"[[ 2.606693e+00 -6.505312e-04  5.392761e-01]
 [ 1.331607e+00  4.323256e+00 -4.347847e-01]
 [ 2.903058e-02 -8.224827e-02  7.077868e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/10_GPa/batch_40/summary_batch_40_10GPa.csv,79.54951160420562,-32.01593745876285,-2.6679947882302373,5.0,0.4166666666666667,1.0,0.08333333333333333,6.0,0.5,-0.5711056264863963,Li5CuH6
sample_4.vasp,Li5CuH6,12,-36.86151,-3.0717926025390625,10,9.889037450154625,[-9.928e+00 -9.688e+00 -1.005e+01  2.801e-04 -1.582e-01  6.743e-05],4.5683175613662295,4.592399969409617,4.565924716590028,80.68619565945039,71.01082595671055,60.17331805122674,"[[ 4.321194e+00 -3.295051e-06  1.482163e+00]
 [ 2.159354e+00  3.984059e+00  7.447157e-01]
 [ 4.565791e-03 -4.163640e-03  4.565921e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/10_GPa/batch_82/summary_batch_82_10GPa.csv,78.5795465392443,-32.011381885014615,-2.667615157084551,5.0,0.4166666666666667,1.0,0.08333333333333333,6.0,0.5,-0.5707259953407101,Li5CuH6
