rank,pressure_GPa,spacegroup_number,formula,n_atoms,H_form_eV_per_atom,source,written
1,75,166,LiH,2,-1.2128252901353114,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_81/sample_9.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_1_75_166_LiH.vasp
2,75,1,Li4CuH5,10,-1.0776694549638162,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_48/sample_14.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_2_75_1_Li4CuH5.vasp
3,75,2,Li2CuH3,12,-0.9803990225443492,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_46/sample_17.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_3_75_2_Li2CuH3.vasp
4,75,129,LiCuH,6,-0.9477674052446364,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_86/sample_12.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_4_75_129_LiCuH.vasp
5,75,43,LiCuH2,8,-0.8495601665601838,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_4/sample_17.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_5_75_43_LiCuH2.vasp
6,75,139,LiCu2H,4,-0.8128709075119966,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_8/sample_18.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_6_75_139_LiCu2H.vasp
7,75,8,Li(CuH)2,5,-0.7909137571258584,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_62/sample_4.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_7_75_8_LiCuH2.vasp
8,75,12,Li6Cu2H,9,-0.7260546822214131,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_64/sample_20.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_8_75_12_Li6Cu2H.vasp
9,75,1,LiCu3H2,12,-0.715225523982725,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_68/sample_3.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_9_75_1_LiCu3H2.vasp
10,75,123,LiCu,2,-0.6911220387853012,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_23/sample_10.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_10_75_123_LiCu.vasp
11,75,1,Li3H,8,-0.6756782174977578,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_93/sample_3.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_11_75_1_Li3H.vasp
12,75,139,LiCu4H,6,-0.6569723302552192,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_89/sample_7.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_12_75_139_LiCu4H.vasp
13,75,12,LiCu5H4,10,-0.6065507240158248,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_30/sample_15.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_13_75_12_LiCu5H4.vasp
14,75,47,LiCu3H4,8,-0.597378100226218,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_1/sample_11.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_14_75_47_LiCu3H4.vasp
15,75,65,LiCu7H2,10,-0.5629573723343672,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_83/sample_13.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_15_75_65_LiCu7H2.vasp
16,75,1,Li2Cu11H2,15,-0.5453143352385929,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_65/sample_10.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_16_75_1_Li2Cu11H2.vasp
17,75,1,Li9CuH,11,-0.48818077162852125,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_42/sample_4.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_17_75_1_Li9CuH.vasp
18,75,160,Cu3H,4,-0.42073334126273537,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_39/sample_10.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_18_75_160_Cu3H.vasp
19,75,8,Cu2H,3,-0.4177220101757632,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_20/sample_13.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_19_75_8_Cu2H.vasp
20,75,221,Cu4H,5,-0.39731476071871175,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/75_GPa/batch_76/sample_4.vasp,outputs_hull_mattersim/75_GPa/structures/CONTCAR_20_75_221_Cu4H.vasp
