config_dir,pressure_target_GPa,pressure_GPa,H_tot_eV,H_per_atom_eV,n_atoms,formula,POSCAR_path,OUTCAR_path,Li_num,Cu_num,H_num,Li_frac,Cu_frac,H_frac,H_form_eV_per_atom,explicit_formula
9_Cu3H,12.0,11.844695000000002,-11.39474629,-2.8486865725,4,Cu3H1,vasp_calcs/120_kBar/9_Cu3H/scf/POSCAR,vasp_calcs/120_kBar/9_Cu3H/scf/OUTCAR,0,3,1,0.0,0.75,0.25,0.00500266521960091,Cu3H
1_Cu4H,12.0,12.043622000000001,-14.10366511,-2.8207330219999998,5,Cu4H1,vasp_calcs/120_kBar/1_Cu4H/scf/POSCAR,vasp_calcs/120_kBar/1_Cu4H/scf/OUTCAR,0,4,1,0.0,0.8,0.2,0.03286481589377033,Cu4H
6_Li2Cu11H2,12.0,12.12612,-40.18959442,-2.6793062946666666,15,Li2Cu11H2,vasp_calcs/120_kBar/6_Li2Cu11H2/scf/POSCAR,vasp_calcs/120_kBar/6_Li2Cu11H2/scf/OUTCAR,2,11,2,0.13333333333333333,0.7333333333333333,0.13333333333333333,-0.11183294827628364,Li2Cu11H2
7_Li3H,12.0,12.000441333333335,-6.42826049,-1.6070651225,4,Li3H1,vasp_calcs/120_kBar/7_Li3H/scf/POSCAR,vasp_calcs/120_kBar/7_Li3H/scf/OUTCAR,3,0,1,0.75,0.0,0.25,-0.36214065079322544,Li3H
5_LiCu,12.0,11.713484000000001,-3.88101087,-1.940505435,2,Li1Cu1,vasp_calcs/120_kBar/5_LiCu/scf/POSCAR,vasp_calcs/120_kBar/5_LiCu/scf/OUTCAR,1,1,0,0.5,0.5,0.0,-0.15978304041810265,LiCu
4_LiCu4H,12.0,11.799627000000001,-16.12554695,-2.6875911583333334,6,Li1Cu4H1,vasp_calcs/120_kBar/4_LiCu4H/scf/POSCAR,vasp_calcs/120_kBar/4_LiCu4H/scf/OUTCAR,1,4,1,0.16666666666666666,0.6666666666666666,0.16666666666666666,-0.1915575349929671,LiCu4H
2_LiH,12.0,11.993761666666668,-5.06511582,-2.53255791,2,Li1H1,vasp_calcs/120_kBar/2_LiH/scf/POSCAR,vasp_calcs/120_kBar/2_LiH/scf/OUTCAR,1,0,1,0.5,0.0,0.5,-0.7509215171597972,LiH
