rank,pressure_GPa,spacegroup_number,formula,n_atoms,H_form_eV_per_atom,source,written
1,50,225,Li1H1,2,-1.1254692665660586,vasp_calcs/500_kBar/11_LiH/scf/POSCAR,outputs_hull_dft/50_GPa/structures/CONTCAR_1_50_225_Li1H1.vasp
2,50,221,Li3Cu1H4,8,-0.89092690986326,vasp_calcs/500_kBar/12_Li3CuH4/scf/POSCAR,outputs_hull_dft/50_GPa/structures/CONTCAR_2_50_221_Li3Cu1H4.vasp
3,50,123,Li1Cu1H2,4,-0.6460333706604612,vasp_calcs/500_kBar/15_LiCuH2/scf/POSCAR,outputs_hull_dft/50_GPa/structures/CONTCAR_3_50_123_Li1Cu1H2.vasp
4,50,42,Li6Cu2H1,9,-0.44576972450539487,vasp_calcs/500_kBar/19_Li6Cu2H/scf/POSCAR,outputs_hull_dft/50_GPa/structures/CONTCAR_4_50_42_Li6Cu2H1.vasp
5,50,1,Li6Cu1H1,8,-0.4147071213309892,vasp_calcs/500_kBar/4_Li6CuH/scf/POSCAR,outputs_hull_dft/50_GPa/structures/CONTCAR_5_50_1_Li6Cu1H1.vasp
6,50,1,Li9Cu1H1,11,-0.3099926110197279,vasp_calcs/500_kBar/7_Li9CuH/scf/POSCAR,outputs_hull_dft/50_GPa/structures/CONTCAR_6_50_1_Li9Cu1H1.vasp
7,50,156,Cu2H1,3,-0.11414464313678947,vasp_calcs/500_kBar/9_Cu2H/scf/POSCAR,outputs_hull_dft/50_GPa/structures/CONTCAR_7_50_156_Cu2H1.vasp
