rank,pressure_GPa,spacegroup_number,formula,n_atoms,H_form_eV_per_atom,source,written
1,50,139,LiH,2,-1.085559045761852,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_14/sample_18.vasp,outputs_hull_mattersim/50_GPa/structures/CONTCAR_1_50_139_LiH.vasp
2,50,123,Li3CuH4,8,-0.9231007705630854,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_5/sample_2.vasp,outputs_hull_mattersim/50_GPa/structures/CONTCAR_2_50_123_Li3CuH4.vasp
3,50,166,Li2Cu2H3,7,-0.810835848551646,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_67/sample_5.vasp,outputs_hull_mattersim/50_GPa/structures/CONTCAR_3_50_166_Li2Cu2H3.vasp
4,50,25,Li3Cu5H4,12,-0.7475526676946207,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_64/sample_8.vasp,outputs_hull_mattersim/50_GPa/structures/CONTCAR_4_50_25_Li3Cu5H4.vasp
5,50,123,LiCuH2,4,-0.7450165618216155,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_12/sample_10.vasp,outputs_hull_mattersim/50_GPa/structures/CONTCAR_5_50_123_LiCuH2.vasp
6,50,8,Li(CuH)2,5,-0.6925033243042334,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_62/sample_4.vasp,outputs_hull_mattersim/50_GPa/structures/CONTCAR_6_50_8_LiCuH2.vasp
7,50,11,LiCu3H,10,-0.656080451163916,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_72/sample_5.vasp,outputs_hull_mattersim/50_GPa/structures/CONTCAR_7_50_11_LiCu3H.vasp
8,50,1,LiCu3H2,12,-0.634881902287999,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_68/sample_3.vasp,outputs_hull_mattersim/50_GPa/structures/CONTCAR_8_50_1_LiCu3H2.vasp
9,50,69,Li6Cu2H,9,-0.6315518394428663,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_87/sample_6.vasp,outputs_hull_mattersim/50_GPa/structures/CONTCAR_9_50_69_Li6Cu2H.vasp
10,50,12,LiCu4H,6,-0.6050392437106681,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_89/sample_7.vasp,outputs_hull_mattersim/50_GPa/structures/CONTCAR_10_50_12_LiCu4H.vasp
11,50,2,Li3H,8,-0.5946856310860777,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_93/sample_3.vasp,outputs_hull_mattersim/50_GPa/structures/CONTCAR_11_50_2_Li3H.vasp
12,50,123,LiCu,2,-0.587422991050419,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_23/sample_10.vasp,outputs_hull_mattersim/50_GPa/structures/CONTCAR_12_50_123_LiCu.vasp
13,50,2,Li6CuH,8,-0.554267288734285,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_46/sample_12.vasp,outputs_hull_mattersim/50_GPa/structures/CONTCAR_13_50_2_Li6CuH.vasp
14,50,12,LiCu5H4,10,-0.5434392312684502,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_30/sample_15.vasp,outputs_hull_mattersim/50_GPa/structures/CONTCAR_14_50_12_LiCu5H4.vasp
15,50,1,Li2Cu11H2,15,-0.5119592226101857,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_65/sample_10.vasp,outputs_hull_mattersim/50_GPa/structures/CONTCAR_15_50_1_Li2Cu11H2.vasp
16,50,1,Li9CuH,11,-0.4145875907455166,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_42/sample_4.vasp,outputs_hull_mattersim/50_GPa/structures/CONTCAR_16_50_1_Li9CuH.vasp
17,50,160,Cu3H,4,-0.3878492925946533,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_39/sample_10.vasp,outputs_hull_mattersim/50_GPa/structures/CONTCAR_17_50_160_Cu3H.vasp
18,50,8,Cu2H,3,-0.37902359983285727,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_20/sample_13.vasp,outputs_hull_mattersim/50_GPa/structures/CONTCAR_18_50_8_Cu2H.vasp
19,50,221,Cu4H,5,-0.3620352438634599,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_75/sample_11.vasp,outputs_hull_mattersim/50_GPa/structures/CONTCAR_19_50_221_Cu4H.vasp
