file,formula,n_atoms,energy_eV,energy_per_atom_eV,pressure_input_GPa,pressure_output_GPa,stress_GPa,lattice_a,lattice_b,lattice_c,angle_alpha,angle_beta,angle_gamma,lattice_vectors,source_csv,volume_A3,H_tot_eV,H_per_atom_eV,Li_num,Li_frac,Cu_num,Cu_frac,H_num,H_frac,H_form_eV_per_atom,explicit_formula
sample_13.vasp,Cu2H,3,-10.635679,-3.5452264149983725,50,50.0154889424642,[-4.968e+01 -5.003e+01 -5.033e+01 -1.193e-01  5.496e-04  2.871e-04],2.4677449936296365,2.4641801615371284,4.071756197362548,90.09326663721538,90.0,120.04786669346402,"[[ 2.467744e+00  1.339681e-03  1.830679e-03]
 [-1.235027e+00  2.132339e+00 -4.707310e-03]
 [-3.020375e-03 -4.201587e-04  4.071755e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_20/summary_batch_20_50GPa.csv,21.432591463352278,-3.9450203200882035,-1.3150067733627344,0.0,0.0,2.0,0.6666666666666666,1.0,0.3333333333333333,-0.37902359983285727,Cu2H
sample_10.vasp,Cu3H,4,-14.41844,-3.604609966278076,50,49.77336502075195,[-4.977e+01 -4.977e+01 -4.978e+01  9.213e-04  1.562e-03 -1.884e-04],2.43739623724798,2.43739623724798,6.2049398865673,78.67302936720151,78.67302936720151,59.99999999999999,"[[ 2.389650e+00  1.400731e-16  4.800750e-01]
 [ 1.146812e+00  2.096724e+00  4.790319e-01]
 [-3.509169e-03  1.006871e-03  6.204939e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_39/summary_batch_39_50GPa.csv,31.09238691761035,-4.759249371067604,-1.189812342766901,0.0,0.0,3.0,0.75,1.0,0.25,-0.3878492925946533,Cu3H
sample_11.vasp,Cu4H,5,-18.131454,-3.626290893554688,50,49.85906982421875,[-4.986e+01 -4.986e+01 -4.986e+01 -3.947e-06 -1.151e-06  4.876e-06],3.444113029405861,3.444113029405861,3.444113029405861,90.0,90.0,90.0,"[[ 3.444112e+00 -8.840167e-21  1.966481e-03]
 [ 1.133668e-07  3.444113e+00 -1.985516e-04]
 [-1.966481e-03  1.985517e-04  3.444112e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_75/summary_batch_75_50GPa.csv,40.85376317153455,-5.417931100105649,-1.08358622002113,0.0,0.0,4.0,0.8,1.0,0.2,-0.3620352438634599,Cu4H
sample_8.vasp,Cu5H2,7,-24.754843,-3.5364061083112444,50,49.88685989379883,[-4.988e+01 -4.988e+01 -4.990e+01 -1.518e-02 -2.335e-02 -1.416e-02],2.443703388451377,2.443616764467658,10.578181624744994,83.47212399148466,83.40744391210336,60.027579339383,"[[ 2.426242e+00  2.822221e-03  2.915923e-01]
 [ 1.192337e+00  2.113255e+00  2.893931e-01]
 [-4.805883e-02 -3.086166e-02  1.057803e+01]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_63/summary_batch_63_50GPa.csv,54.24131393684097,-7.865761155614564,-1.1236801650877948,0.0,0.0,5.0,0.7142857142857143,2.0,0.2857142857142857,-0.2642799191908488,Cu5H2
sample_2.vasp,CuH,2,-6.7590632,-3.3795316219329834,50,49.68181610107422,[-4.967e+01 -4.973e+01 -4.965e+01  2.528e-02  1.840e-02  1.461e-02],2.616988030607167,2.615788357072768,2.616988030607167,59.9233204979549,59.95603012584106,59.92332049795492,"[[ 2.263785e+00  2.165712e-04  1.312975e+00]
 [ 7.530078e-01  2.132628e+00  1.314240e+00]
 [-3.167961e-03 -2.947581e-03  2.616984e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_23/summary_batch_23_50GPa.csv,12.648603055195995,-2.8368635450238116,-1.4184317725119058,0.0,0.0,1.0,0.5,1.0,0.5,-0.21440835226676946,CuH
sample_2.vasp,Li(Cu2H)3,10,-33.958714,-3.3958713531494142,50,49.73444112141927,[-4.969e+01 -4.972e+01 -4.978e+01  8.831e-02  6.692e-05 -3.708e-05],2.448750939233913,4.210541468664797,7.28101012467066,84.40205956215743,90.0,106.9051459549088,"[[ 2.448751e+00 -1.241107e-03  4.329062e-04]
 [-1.222409e+00  4.011579e+00  3.763121e-01]
 [-1.255662e-03  6.210377e-02  7.280745e+00]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_3/summary_batch_3_50GPa.csv,71.45306098088116,-11.778396887313406,-1.1778396887313405,1.0,0.1,6.0,0.6,3.0,0.3,-0.5091703879067542,Li(Cu2H)3
sample_13.vasp,Li(Cu2H3)2,11,-35.095856,-3.1905323375355112,50,50.33031590779623,[-50.516 -50.365 -50.11   -0.233  -0.149   0.061],4.193339506165019,4.194443297843846,4.233713207237801,99.38808696228804,99.42132610373145,119.33919932006656,"[[ 4.127953  0.013007 -0.737517]
 [-2.229386  3.4768   -0.731474]
 [ 0.05189   0.090567  4.232426]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_21/summary_batch_21_50GPa.csv,61.42173172704918,-15.801007016206157,-1.4364551832914687,1.0,0.09090909090909091,4.0,0.36363636363636365,6.0,0.5454545454545454,-0.35360789881693366,Li(Cu2H3)2
sample_19.vasp,Li(Cu3H)2,9,-30.036608,-3.337400860256619,50,49.982421875,[-50.038 -49.833 -50.077  -0.054  -0.064   0.086],2.38895726747285,6.037323020875276,6.391047581173169,125.5590594032046,110.84800324357984,79.4088569464496,"[[ 2.294275  0.132076 -0.652669]
 [-0.07124   5.063272 -3.287472]
 [-0.541123 -0.309489  6.360573]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_89/summary_batch_89_50GPa.csv,70.04575498550129,-8.184728992994451,-0.909414332554939,1.0,0.1111111111111111,6.0,0.6666666666666666,2.0,0.2222222222222222,-0.3895755716821668,Li(Cu3H)2
sample_11.vasp,Li(Cu3H4)2,15,-48.25223,-3.216815439860026,50,49.80013783772787,[-4.991e+01 -4.993e+01 -4.956e+01 -1.320e-02 -1.556e-02  3.828e-02],4.589939647323841,4.5899396473238365,4.291950355514194,84.8279268967173,84.8279268967173,77.77722979057776,"[[ 4.575921 -0.038398  0.356401]
 [ 0.983763  4.468359  0.365415]
 [ 0.054136  0.034566  4.29147 ]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_33/summary_batch_33_50GPa.csv,87.7765335412098,-20.968820513715404,-1.397921367581027,1.0,0.06666666666666667,6.0,0.4,8.0,0.5333333333333333,-0.28276044690099816,Li(Cu3H4)2
sample_18.vasp,Li(Cu4H)2,11,-37.8835,-3.443954467773437,50,50.03579076131185,[-50.145 -49.795 -50.168  -0.264  -0.052  -0.129],3.430047518333123,5.379828820869456,5.396083815915978,107.6176617752277,108.54681651161437,90.01208029449299,"[[ 3.254429 -0.00637  -1.083456]
 [-0.515079  5.118673 -1.573669]
 [-0.012782 -0.058959  5.395747]]",/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/50_GPa/batch_9/summary_batch_9_50GPa.csv,89.46071015104218,-9.945019664834842,-0.9040926968031674,1.0,0.09090909090909091,8.0,0.7272727272727273,2.0,0.18181818181818182,-0.4060604960710158,Li(Cu4H)2
