rank,pressure_GPa,spacegroup_number,formula,n_atoms,H_form_eV_per_atom,source,written
1,0,139,Li1H1,2,-0.4154514619461174,vasp_calcs/0_kBar/1_LiH/scf/POSCAR,outputs_hull_dft/0_GPa/structures/CONTCAR_1_0_139_Li1H1.vasp
2,0,187,Li1Cu1,2,-0.0215166082740037,vasp_calcs/0_kBar/4_LiCu/scf/POSCAR,outputs_hull_dft/0_GPa/structures/CONTCAR_2_0_187_Li1Cu1.vasp
