config_dir,pressure_target_GPa,pressure_GPa,H_tot_eV,H_per_atom_eV,n_atoms,formula,POSCAR_path,OUTCAR_path,Li_num,Cu_num,H_num,Li_frac,Cu_frac,H_frac,H_form_eV_per_atom,explicit_formula
1_LiH,0.0,0.04018766666666667,-6.12769612,-3.06384806,2,Li1H1,vasp_calcs/0_kBar/1_LiH/scf/POSCAR,vasp_calcs/0_kBar/1_LiH/scf/OUTCAR,1,0,1,0.5,0.0,0.5,-0.4154514619461174,LiH
2_LiCu4H,0.0,-0.133693,-20.58651009,-3.4310850150000003,6,Li1Cu4H1,vasp_calcs/0_kBar/2_LiCu4H/scf/POSCAR,vasp_calcs/0_kBar/2_LiCu4H/scf/OUTCAR,1,4,1,0.16666666666666666,0.6666666666666666,0.16666666666666666,-0.06703553908123953,LiCu4H
4_LiCu,0.0,0.6800646666666667,-5.66579827,-2.832899135,2,Li1Cu1,vasp_calcs/0_kBar/4_LiCu/scf/POSCAR,vasp_calcs/0_kBar/4_LiCu/scf/OUTCAR,1,1,0,0.5,0.5,0.0,-0.0215166082740037,LiCu
3_Li2Cu11H2,0.0,0.12506966666666666,-51.77244594,-3.451496396,15,Li2Cu11H2,vasp_calcs/0_kBar/3_Li2Cu11H2/scf/POSCAR,vasp_calcs/0_kBar/3_Li2Cu11H2/scf/OUTCAR,2,11,2,0.13333333333333333,0.7333333333333333,0.13333333333333333,-0.015881632294751095,Li2Cu11H2
5_Cu4H,0.0,-0.177325,-17.77087063,-3.5541741260000004,5,Cu4H1,vasp_calcs/0_kBar/5_Cu4H/scf/POSCAR,vasp_calcs/0_kBar/5_Cu4H/scf/OUTCAR,0,4,1,0.0,0.8,0.2,0.10250741738235476,Cu4H
