rank,pressure_GPa,spacegroup_number,formula,n_atoms,H_form_eV_per_atom,source,written
1,40,166,LiH,2,-0.9939101153217933,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_81/sample_9.vasp,outputs_hull_mattersim/40_GPa/structures/CONTCAR_1_40_166_LiH.vasp
2,40,12,Li4CuH3,8,-0.8888903027888414,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_16/sample_12.vasp,outputs_hull_mattersim/40_GPa/structures/CONTCAR_2_40_12_Li4CuH3.vasp
3,40,6,Li3CuH4,8,-0.8658253510669992,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_31/sample_4.vasp,outputs_hull_mattersim/40_GPa/structures/CONTCAR_3_40_6_Li3CuH4.vasp
4,40,8,Li3Cu2H3,8,-0.8580226240659234,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_65/sample_5.vasp,outputs_hull_mattersim/40_GPa/structures/CONTCAR_4_40_8_Li3Cu2H3.vasp
5,40,9,LiCuH2,8,-0.691559859712191,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_4/sample_17.vasp,outputs_hull_mattersim/40_GPa/structures/CONTCAR_5_40_9_LiCuH2.vasp
6,40,164,Li(CuH)2,5,-0.6620651040502361,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_50/sample_7.vasp,outputs_hull_mattersim/40_GPa/structures/CONTCAR_6_40_164_LiCuH2.vasp
7,40,11,LiCu3H,10,-0.6325452695983618,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_72/sample_5.vasp,outputs_hull_mattersim/40_GPa/structures/CONTCAR_7_40_11_LiCu3H.vasp
8,40,65,Li3Cu5H,9,-0.5962262151122624,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_45/sample_11.vasp,outputs_hull_mattersim/40_GPa/structures/CONTCAR_8_40_65_Li3Cu5H.vasp
9,40,12,LiCu4H,6,-0.584909256364185,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_89/sample_7.vasp,outputs_hull_mattersim/40_GPa/structures/CONTCAR_9_40_12_LiCu4H.vasp
10,40,12,Li6Cu2H,9,-0.5781871544330897,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_64/sample_20.vasp,outputs_hull_mattersim/40_GPa/structures/CONTCAR_10_40_12_Li6Cu2H.vasp
11,40,2,Li3H,4,-0.55870413633,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_34/sample_13.vasp,outputs_hull_mattersim/40_GPa/structures/CONTCAR_11_40_2_Li3H.vasp
12,40,123,LiCu,2,-0.5446215765595852,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_23/sample_10.vasp,outputs_hull_mattersim/40_GPa/structures/CONTCAR_12_40_123_LiCu.vasp
13,40,2,Li6CuH,8,-0.5177343212519047,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_46/sample_12.vasp,outputs_hull_mattersim/40_GPa/structures/CONTCAR_13_40_2_Li6CuH.vasp
14,40,12,LiCu5H4,10,-0.5117735539927413,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_30/sample_15.vasp,outputs_hull_mattersim/40_GPa/structures/CONTCAR_14_40_12_LiCu5H4.vasp
15,40,1,Li2Cu11H2,15,-0.5059846764031452,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_65/sample_10.vasp,outputs_hull_mattersim/40_GPa/structures/CONTCAR_15_40_1_Li2Cu11H2.vasp
16,40,65,LiCu7H2,10,-0.5000432898715005,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_83/sample_13.vasp,outputs_hull_mattersim/40_GPa/structures/CONTCAR_16_40_65_LiCu7H2.vasp
17,40,164,Cu2H,3,-0.3758827020255821,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_66/sample_17.vasp,outputs_hull_mattersim/40_GPa/structures/CONTCAR_17_40_164_Cu2H.vasp
18,40,160,Cu3H,4,-0.37049999595461647,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_39/sample_10.vasp,outputs_hull_mattersim/40_GPa/structures/CONTCAR_18_40_160_Cu3H.vasp
19,40,221,Cu4H,5,-0.3624717310782609,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/40_GPa/batch_75/sample_11.vasp,outputs_hull_mattersim/40_GPa/structures/CONTCAR_19_40_221_Cu4H.vasp
