rank,pressure_GPa,spacegroup_number,formula,n_atoms,H_form_eV_per_atom,source,written
1,20,166,LiH,2,-0.8330561336504112,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_81/sample_9.vasp,outputs_hull_mattersim/20_GPa/structures/CONTCAR_1_20_166_LiH.vasp
2,20,8,Li3CuH4,8,-0.6987634879685953,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_89/sample_9.vasp,outputs_hull_mattersim/20_GPa/structures/CONTCAR_2_20_8_Li3CuH4.vasp
3,20,8,LiCuH2,8,-0.5546723308651522,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_92/sample_17.vasp,outputs_hull_mattersim/20_GPa/structures/CONTCAR_3_20_8_LiCuH2.vasp
4,20,8,Li(CuH)2,10,-0.5237640571015838,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_83/sample_3.vasp,outputs_hull_mattersim/20_GPa/structures/CONTCAR_4_20_8_LiCuH2.vasp
5,20,12,LiCu4H,6,-0.4971871292345525,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_89/sample_7.vasp,outputs_hull_mattersim/20_GPa/structures/CONTCAR_5_20_12_LiCu4H.vasp
6,20,65,Li3Cu5H,9,-0.4965823771351425,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_45/sample_11.vasp,outputs_hull_mattersim/20_GPa/structures/CONTCAR_6_20_65_Li3Cu5H.vasp
7,20,1,Li3H,8,-0.45800525815083293,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_93/sample_3.vasp,outputs_hull_mattersim/20_GPa/structures/CONTCAR_7_20_1_Li3H.vasp
8,20,38,LiCu,2,-0.4381850314097502,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_76/sample_15.vasp,outputs_hull_mattersim/20_GPa/structures/CONTCAR_8_20_38_LiCu.vasp
9,20,1,Li2Cu11H2,15,-0.4245378593315872,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_65/sample_10.vasp,outputs_hull_mattersim/20_GPa/structures/CONTCAR_9_20_1_Li2Cu11H2.vasp
10,20,2,Li6CuH,8,-0.40848557708427913,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_46/sample_12.vasp,outputs_hull_mattersim/20_GPa/structures/CONTCAR_10_20_2_Li6CuH.vasp
11,20,160,Cu3H,4,-0.3180002373813142,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_47/sample_3.vasp,outputs_hull_mattersim/20_GPa/structures/CONTCAR_11_20_160_Cu3H.vasp
12,20,221,Cu4H,5,-0.31719753688230556,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_75/sample_11.vasp,outputs_hull_mattersim/20_GPa/structures/CONTCAR_12_20_221_Cu4H.vasp
13,20,164,Cu2H,3,-0.2949086115665753,/home/apandit/Applications/MatterGen/mattergen-main/test_self/test_licuh/mattersim_rel_pres/20_GPa/batch_66/sample_17.vasp,outputs_hull_mattersim/20_GPa/structures/CONTCAR_13_20_164_Cu2H.vasp
